Order ID,Order Date,Customer ID,Product ID,Quantity,Customer Name,Email,Country,Coffee Type Name,Coffee Type,Roast Type Full,Roast Type,Size, Unit Price , Sales ,Loyalty Card
QEV-37451-860,05-Sep-2019,17670-51384-MA,R-M-1,2,Aloisia Allner,aallner0@lulu.com,United States,Robusta,Rob,Medium,M,1.0 kg, $9.95 , $19.90 ,Yes
QEV-37451-860,05-Sep-2019,17670-51384-MA,E-M-0.5,5,Aloisia Allner,,United States,Excelsa,Exc,Medium,M,0.5 kg, $8.25 , $41.25 ,Yes
FAA-43335-268,17-Jun-2021,21125-22134-PX,A-L-1,1,Jami Redholes,pbote1@yelp.com,United States,Arabica,Ara,Light,L,1.0 kg, $12.95 , $12.95 ,Yes
KAC-83089-793,15-Jul-2021,23806-46781-OU,E-M-1,2,Christoffer O' Shea,dazema3@facebook.com,Ireland,Excelsa,Exc,Medium,M,1.0 kg, $13.75 , $27.50 ,No
KAC-83089-793,15-Jul-2021,23806-46781-OU,R-L-2.5,2,Christoffer O' Shea,dazema3@facebook.com,Ireland,Robusta,Rob,Light,L,2.5 kg, $27.49 , $54.97 ,No
CVP-18956-553,04-Aug-2021,86561-91660-RB,L-D-1,3,Beryle Cottier,,United States,Liberica,Lib,Dark,D,1.0 kg, $12.95 , $38.85 ,No
IPP-31994-879,21-Jan-2022,65223-29612-CB,E-D-0.5,3,Shaylynn Lobe,,United States,Excelsa,Exc,Dark,D,0.5 kg, $7.29 , $21.87 ,Yes
SNZ-65340-705,20-May-2022,21134-81676-FR,L-L-0.2,1,Melvin Wharfe,slobe6@nifty.com,Ireland,Liberica,Lib,Light,L,0.2 kg, $4.76 , $4.76 ,Yes
EZT-46571-659,02-Jan-2019,03396-68805-ZC,R-M-0.5,3,Guthrey Petracci,,United States,Robusta,Rob,Medium,M,0.5 kg, $5.97 , $17.91 ,No
NWQ-70061-912,05-Sep-2019,61021-27840-ZN,R-M-0.5,1,Rodger Raven,gpetracci8@livejournal.com,United States,Robusta,Rob,Medium,M,0.5 kg, $5.97 , $5.97 ,No
BKK-47233-845,08-Mar-2021,76239-90137-UQ,A-D-1,4,Ferrell Ferber,rraven9@ed.gov,United States,Arabica,Ara,Dark,D,1.0 kg, $9.95 , $39.80 ,No
VQR-01002-970,28-Oct-2020,49315-21985-BB,E-L-2.5,5,Duky Phizackerly,fferbera@businesswire.com,United States,Excelsa,Exc,Light,L,2.5 kg, $34.16 , $170.78 ,Yes
SZW-48378-399,02-Jul-2022,34136-36674-OM,R-M-1,5,Rosaleen Scholar,dphizackerlyb@utexas.edu,United States,Robusta,Rob,Medium,M,1.0 kg, $9.95 , $49.75 ,No
